epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,53411.8,1.61736,1.7827,2.6679,0.92069,0.84947,0.90976,0.78852,1.30074,1.11756,2.4131,0.006139,0.006139,0.006139
158,53752.3,1.63701,1.78694,2.69524,0.94115,0.83915,0.91324,0.78925,1.32686,1.1466,2.44916,0.00611425,0.00611425,0.00611425
159,54094,1.63639,1.81219,2.69416,0.91694,0.85677,0.91314,0.78079,1.34658,1.13282,2.46595,0.0060895,0.0060895,0.0060895
160,54434.1,1.63063,1.83525,2.67924,0.90054,0.88836,0.91052,0.77911,1.3472,1.14246,2.48185,0.00606475,0.00606475,0.00606475
161,54774.4,1.6244,1.76729,2.68373,0.91759,0.86916,0.91126,0.78843,1.32075,1.13173,2.45059,0.00604,0.00604,0.00604
162,55118.3,1.60427,1.77356,2.67198,0.92477,0.88132,0.91691,0.7889,1.32109,1.1083,2.45676,0.00601525,0.00601525,0.00601525
163,55459.2,1.60114,1.74511,2.67373,0.92203,0.88576,0.92393,0.79112,1.36149,1.02051,2.53129,0.0059905,0.0059905,0.0059905
164,55799.4,1.60848,1.77774,2.66904,0.92943,0.89009,0.92158,0.79112,1.33896,1.0516,2.49057,0.00596575,0.00596575,0.00596575
165,56142.3,1.60216,1.78143,2.66765,0.92884,0.87953,0.91302,0.78768,1.3572,1.03937,2.55262,0.005941,0.005941,0.005941
166,56481.9,1.61575,1.77824,2.67943,0.92516,0.87246,0.90288,0.781,1.37695,1.14598,2.5725,0.00591625,0.00591625,0.00591625
167,56822.9,1.58956,1.7638,2.66199,0.91932,0.86253,0.9026,0.78154,1.37503,1.16668,2.56989,0.0058915,0.0058915,0.0058915
168,57165,1.60119,1.75546,2.66792,0.90146,0.87404,0.90285,0.78382,1.37514,1.11976,2.54908,0.00586675,0.00586675,0.00586675
169,57503.8,1.59476,1.71909,2.65304,0.87741,0.8911,0.90047,0.78246,1.3559,1.12645,2.50778,0.005842,0.005842,0.005842
170,57842.6,1.60478,1.78102,2.66783,0.89653,0.87108,0.89993,0.77975,1.36342,1.071,2.50766,0.00581725,0.00581725,0.00581725
171,58181.4,1.592,1.7526,2.66496,0.8899,0.87717,0.90271,0.78348,1.36437,1.04685,2.4975,0.0057925,0.0057925,0.0057925
172,58520.3,1.5927,1.71927,2.66503,0.94115,0.84398,0.90832,0.79449,1.33255,1.0759,2.47327,0.00576775,0.00576775,0.00576775
173,58859.8,1.58022,1.73912,2.64349,0.92253,0.86782,0.91224,0.79696,1.31261,1.04897,2.44542,0.005743,0.005743,0.005743
174,59198.9,1.58243,1.70703,2.64547,0.92555,0.86878,0.91385,0.79987,1.29478,1.0733,2.42765,0.00571825,0.00571825,0.00571825
175,59541.8,1.59159,1.72534,2.65906,0.93055,0.87215,0.91222,0.79849,1.25631,1.12865,2.39331,0.0056935,0.0056935,0.0056935
176,59885.6,1.58954,1.76567,2.66113,0.908,0.86867,0.90969,0.79467,1.25632,1.15976,2.39724,0.00566875,0.00566875,0.00566875
177,60232.2,1.57442,1.70744,2.63049,0.89995,0.8797,0.91164,0.79338,1.2445,1.15303,2.37713,0.005644,0.005644,0.005644
178,60575.5,1.56624,1.69997,2.63321,0.92561,0.87865,0.91065,0.78995,1.25991,1.14066,2.39844,0.00561925,0.00561925,0.00561925
179,60919.3,1.58197,1.73572,2.6614,0.90988,0.88283,0.91123,0.7858,1.29298,1.13445,2.44407,0.0055945,0.0055945,0.0055945
180,61263.2,1.56959,1.68708,2.63467,0.92069,0.87977,0.90701,0.77898,1.31361,1.15784,2.4791,0.00556975,0.00556975,0.00556975
181,61606.5,1.58157,1.73634,2.64998,0.92066,0.86383,0.90429,0.7773,1.32373,1.13196,2.4984,0.005545,0.005545,0.005545
